00:30:31.221 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with name filters **************
00:30:31.384 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Bookings with name filters are displayed **************
00:30:31.387 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:30:31.540 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:30:31.702 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:30:31.858 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:30:32.014 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Updating non existing booking **************
00:30:32.297 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished updating non existing booking **************
00:30:32.301 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Updating booking **************
00:30:32.620 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is updated **************
00:30:32.622 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Updating booking with invalid data **************
00:30:33.005 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished updating booking with invalid data **************
00:30:33.008 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Partially updating booking **************
00:30:33.299 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is updated **************
00:30:33.302 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Partially updating non existing booking **************
00:30:33.442 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished partially updating non existing booking **************
00:30:33.445 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Deleting booking **************
00:30:33.729 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is deleted **************
00:30:33.731 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Partially updating booking with invalid data **************
00:30:34.082 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished partially updating booking with invalid data **************
00:30:34.084 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Deleting non existing booking **************
00:30:34.215 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished deleting non existing booking **************
00:31:55.431 [main] INFO  Assessment.API.e2e.TokenTest - ************** Creating Token **************
00:31:56.078 [main] INFO  Assessment.API.e2e.TokenTest - ************** Token is created **************
00:31:56.087 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Creating Booking **************
00:31:56.470 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is created **************
00:31:56.474 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Creating Booking with missing fields **************
